t (seconds)	θ (degrees)	uncertainty t (type b)	uncertainty θ (type b, based on the precision of tracker app's autotracker measurements which can vary because of motion blur, estimated to be on the magnitude of +-1 degree)
20.93333	52.61848	0.01	1
20.96667	57.48388	0.01	1
21	64.73695	0.01	1
21.03333	69.41145	0.01	1
21.06667	70.44768	0.01	1
21.1	71.34788	0.01	1
21.13333	70.11576	0.01	1
21.16667	66.5417	0.01	1
21.2	62.21454	0.01	1
21.23333	55.63961	0.01	1
21.26667	46.54015	0.01	1
21.3	34.53313	0.01	1
21.33333	24.13496	0.01	1
21.36667	10.64345	0.01	1
21.4	-3.519413	0.01	1
21.43333	-16.66154	0.01	1
21.46667	-26.62924	0.01	1
21.5	-37.58912	0.01	1
21.53333	-47.60629	0.01	1
21.56667	-55.52913	0.01	1
21.6	-61.01	0.01	1
21.63333	-65.74796	0.01	1
21.66667	-68.51425	0.01	1
21.7	-69.05503	0.01	1
21.73333	-68.10687	0.01	1
21.76667	-65.02333	0.01	1
21.8	-59.7359	0.01	1
21.83333	-52.99111	0.01	1
21.86667	-45.80837	0.01	1
21.9	-35.51718	0.01	1
21.93333	-26.42309	0.01	1
21.96667	-11.05236	0.01	1
22	1.176088	0.01	1
22.03333	14.112	0.01	1
22.06667	26.57768	0.01	1
22.1	38.14588	0.01	1
22.13333	48.77507	0.01	1
22.16667	57.1581	0.01	1
22.2	64.00573	0.01	1
22.23333	68.85603	0.01	1
22.26667	71.68129	0.01	1
22.3	70.16862	0.01	1
22.33333	67.18503	0.01	1
22.36667	61.56194	0.01	1
22.4	53.69809	0.01	1
22.43333	46.27775	0.01	1
22.5	33.90462	0.01	1
22.53333	21.30332	0.01	1
22.56667	9.487772	0.01	1
22.6	3.062788	0.01	1
22.63333	-8.60086	0.01	1
22.66667	-20.21122	0.01	1
22.7	-32.47536	0.01	1
22.73333	-41.59216	0.01	1
22.76667	-50.4216	0.01	1
22.8	-57.61277	0.01	1
22.83333	-64.64187	0.01	1
22.86667	-68.36384	0.01	1
22.9	-70.05507	0.01	1
22.93333	-70.036	0.01	1
22.96667	-67.50941	0.01	1
23	-63.84669	0.01	1
23.03333	-57.79995	0.01	1
23.06667	-49.93149	0.01	1
23.1	-37.84115	0.01	1
23.13333	-26.62587	0.01	1
23.16667	-15.72355	0.01	1
23.2	-4.664501	0.01	1
23.23333	8.941276	0.01	1
23.26667	20.52134	0.01	1
23.3	33.79175	0.01	1
23.33333	44.21442	0.01	1
23.36667	53.50529	0.01	1
23.4	61.41915	0.01	1
23.43333	66.55239	0.01	1
23.46667	70.10843	0.01	1
23.5	69.1301	0.01	1
23.53333	67.05157	0.01	1
23.56667	62.62641	0.01	1
23.6	56.39457	0.01	1
23.63333	49.24814	0.01	1
23.7	37.98063	0.01	1
23.73333	26.18142	0.01	1
23.76667	13.622	0.01	1
23.8	1.436309	0.01	1
23.83333	-10.36141	0.01	1
23.86667	-21.66332	0.01	1
23.9	-33.99579	0.01	1
23.93333	-42.10406	0.01	1
23.96667	-50.51649	0.01	1
24	-57.65961	0.01	1
24.03333	-64.05272	0.01	1
